"","voted","sex","age","unit","weight","race","educ"
"1",1,0,"(59,69]",0,3229.203,1,0
"2",0,1,"(59,69]",0,4120.2503,4,0
"3",1,0,"(39,49]",0,4360.5666,1,2
"4",1,1,"(39,49]",0,4137.6192,1,2
"5",NA,1,"(59,69]",0,3816.0328,2,2
"6",NA,0,"(0,29]",0,5385.6248,2,0
"7",NA,0,"(39,49]",0,4434.4495,2,2
"8",1,0,"(0,29]",0,4940.5552,3,2
"9",1,0,"(49,59]",0,3862.7322,2,1
"10",1,1,"(49,59]",0,3786.1373,2,2
"11",0,1,"(29,39]",0,3211.7423,1,2
"12",0,0,"(29,39]",0,3415.1685,1,0
"13",0,1,"(49,59]",0,3634.2709,1,1
"14",0,0,"(49,59]",0,3502.0717,1,0
"15",1,0,"(39,49]",0,3116.9115,1,2
"16",1,1,"(39,49]",0,2863.2994,1,2
"17",1,1,"(69,79]",0,2994.8718,2,1
"18",1,1,"(59,69]",0,3816.0328,2,2
"19",1,0,"(49,59]",0,3820.2127,1,2
"20",1,1,"(39,49]",0,3435.4251,1,1
"21",1,1,"(0,29]",0,4390.0996,1,0
"22",1,1,"(0,29]",0,3760.6552,1,2
"23",1,0,"(0,29]",0,4711.0087,1,2
"24",NA,1,"(59,69]",0,3476.1734,1,NA
"25",1,1,"(59,69]",0,3713.26,2,1
"26",0,0,"(0,29]",0,3556.32,1,1
"27",0,1,"(0,29]",0,4239.6852,1,1
"28",1,1,"(59,69]",0,3303.2905,1,2
"29",1,0,"(69,79]",0,3482.9338,1,2
"30",0,0,"(29,39]",0,4045.4288,2,2
"31",1,1,"(39,49]",0,3277.2418,1,2
"32",0,1,"(29,39]",0,4063.2127,1,2
"33",0,0,"(39,49]",0,4728.1184,1,1
"34",0,1,"(49,59]",0,4047.5672,3,2
"35",1,0,"(49,59]",0,4414.4217,3,2
"36",1,0,"(59,69]",0,3078.2278,1,1
"37",1,1,"(29,39]",0,5808.7681,2,2
"38",0,0,"(79,100]",0,3333.45,1,0
"39",0,1,"(79,100]",0,3347.7031,1,0
"40",0,1,"(69,79]",0,3418.9698,1,1
"41",0,0,"(39,49]",0,4178.749,1,0
"42",NA,1,"(39,49]",0,4233.7574,2,2
"43",NA,0,"(49,59]",0,5050.4216,2,2
"44",0,1,"(79,100]",0,3100.8874,1,0
"45",1,1,"(69,79]",0,3018.9654,1,2
"46",NA,0,"(39,49]",0,4243.3,2,1
"47",NA,1,"(39,49]",0,3996.5674,2,2
"48",NA,0,"(0,29]",0,4058.653,2,0
"49",NA,0,NA,0,5283.8046,2,NA
"50",NA,1,NA,0,4882.0099,2,NA
"51",NA,1,"(0,29]",0,3406.026,NA,NA
"52",1,1,"(39,49]",0,3435.4251,1,NA
"53",1,0,"(39,49]",0,3853.9037,1,NA
"54",NA,0,NA,0,3556.682,NA,NA
"55",NA,0,NA,0,3136.4186,NA,NA
"56",0,0,"(29,39]",0,4667.8731,2,0
"57",1,0,"(69,79]",0,2985.9257,NA,2
"58",1,1,"(59,69]",0,3780.2898,NA,2
"59",1,0,"(69,79]",0,3297.8242,2,1
"60",1,0,"(39,49]",0,2874.6108,1,2
"61",1,1,"(39,49]",0,3672.2747,1,2
"62",1,0,"(49,59]",0,3377.2413,1,2
"63",1,1,"(49,59]",0,3325.4044,1,2
"64",1,1,"(49,59]",0,3083.6105,4,1
"65",1,1,"(49,59]",0,3340.6991,3,1
"66",1,0,"(29,39]",0,4045.4288,2,2
"67",1,1,"(0,29]",0,7083.2386,2,0
"68",0,0,"(0,29]",0,5569.7772,3,0
"69",0,0,"(0,29]",0,5769.2792,1,0
"70",1,0,"(59,69]",0,3171.8979,2,1
"71",1,1,"(39,49]",0,3996.5674,2,2
"72",1,0,"(59,69]",0,3229.203,1,2
"73",1,1,"(49,59]",0,3663.9226,1,2
"74",1,0,"(59,69]",0,2954.071,1,2
"75",1,1,"(59,69]",0,3363.1364,1,2
"76",0,0,"(0,29]",0,3726.7624,1,1
"77",1,0,"(0,29]",0,3726.7624,1,1
"78",1,0,"(0,29]",0,3726.7624,1,1
"79",1,0,"(0,29]",0,3726.7624,1,1
"80",1,0,"(59,69]",0,3441.2045,1,2
"81",1,0,"(0,29]",0,4711.0087,1,0
"82",1,0,"(49,59]",0,3721.6645,1,2
"83",1,1,"(39,49]",0,3437.711,1,0
"84",1,0,"(69,79]",0,3526.4201,1,1
"85",1,1,"(59,69]",0,3276.5574,1,0
"86",0,1,"(0,29]",0,3878.4589,NA,1
"87",0,0,"(0,29]",0,3409.2377,1,1
"88",0,1,"(0,29]",0,3878.4589,1,1
"89",0,1,"(0,29]",0,3878.4589,1,1
"90",NA,0,"(79,100]",0,3186.1837,1,1
"91",1,0,"(0,29]",0,2894.2505,3,1
"92",1,0,"(69,79]",0,3482.9338,1,2
"93",NA,0,NA,0,2940.0641,NA,NA
"94",1,0,"(69,79]",0,3643.1626,1,0
"95",1,1,"(59,69]",0,3033.1176,1,0
"96",0,0,"(29,39]",0,2735.3684,1,1
"97",1,1,"(39,49]",0,4104.1339,1,2
"98",0,0,"(39,49]",0,4325.277,1,2
"99",1,0,"(39,49]",0,3207.3281,1,1
"100",1,1,"(39,49]",0,2619.3428,1,2
"101",1,1,"(29,39]",0,4438.4115,2,0
"102",1,0,"(79,100]",0,3575.7975,2,1
"103",1,1,"(79,100]",0,3247.3093,2,0
"104",1,1,"(39,49]",0,4553.469,2,2
"105",1,1,"(49,59]",0,3507.417,1,2
"106",1,1,"(0,29]",0,4743.9032,1,2
"107",1,0,"(59,69]",0,4080.6566,2,0
"108",1,0,"(59,69]",0,3459.1256,1,2
"109",1,1,"(59,69]",0,3485.5179,1,2
"110",1,1,"(0,29]",0,3468.3115,1,1
"111",1,0,"(0,29]",0,3253.3172,1,2
"112",1,0,"(0,29]",0,3253.3172,1,2
"113",1,1,"(29,39]",0,2882.4879,1,2
"114",0,0,"(29,39]",0,4210.8541,1,2
"115",1,1,"(59,69]",0,3303.2905,1,1
"116",1,0,"(0,29]",0,3409.2377,1,1
"117",1,1,"(49,59]",0,3396.0586,1,2
"118",0,1,"(0,29]",0,5007.0662,1,1
"119",1,1,"(0,29]",0,3519.8091,3,0
"120",1,0,"(29,39]",0,4898.5667,1,2
"121",1,1,"(29,39]",0,4483.5313,1,2
"122",1,1,"(49,59]",0,3517.8517,2,2
"123",1,1,"(0,29]",0,6857.8057,2,1
"124",NA,1,"(0,29]",0,4677.9742,2,2
"125",1,0,"(59,69]",0,3527.8981,1,2
"126",1,1,"(59,69]",0,2936.5848,1,2
"127",0,0,"(59,69]",0,3173.6941,1,0
